,phrases,frequency,English
0,abdomin,1,
1,abid,1,
2,abil,1,
3,abl,3,
4,about,2,
5,absenc,1,
6,absent,2,
7,absurd,15,
8,aca,1,
9,accept,9,
10,access,4,
11,accessori,2,
12,accid,1,
13,accompani,4,
14,accomplic,1,
15,accord,17,
16,account,5,
17,accus,1,
18,accustom,1,
19,achiev,1,
20,acquir,6,
21,acronym,1,
22,across,3,
23,act,2,
24,action,2,
25,activ,1,
26,actual,6,
27,ad,15,
28,adapt,3,
29,add,1,
30,addit,16,
31,address,24,
32,adher,1,
33,adhes,1,
34,adjust,2,
35,administr,2,
36,admir,1,
37,admit,1,
38,adulter,1,
39,advanc,5,
40,advertis,35,
41,aff,2,
42,affect,1,
43,afraid,1,
44,after,3,
45,afternoon,13,
46,again,2,
47,against,1,
48,age,2,
49,agenc,3,
50,aggrav,1,
51,agil,2,
52,ago,11,
53,agr,1,
54,agreement,1,
55,ah,1,
56,aid,1,
57,air,2,
58,alarm,1,
59,alia,1,
60,alik,1,
61,all,18,
62,alleg,1,
63,allow,1,
64,almost,23,
65,alon,3,
66,along,1,
67,alreadi,143,
68,also,10,
69,alter,1,
70,altern,1,
71,although,7,
72,aluminum,1,
73,alway,31,
74,am,60,
75,amateur,1,
76,amend,1,
77,amer,1,
78,america,1,
79,american,8,
80,americana,1,
81,amor,2,
82,amount,20,
83,an,39,
84,analog,1,
85,ancient,2,
86,and,33,
87,android,1,
88,angri,1,
89,ani,11,
90,announc,26,
91,annoy,2,
92,anoth,100,
93,answer,64,
94,antenna,1,
95,anticip,2,
96,antonio,1,
97,anxiou,2,
98,anymor,4,
99,anyon,13,
100,anyth,27,
101,anyway,6,
102,apach,1,
103,app,1,
104,appar,2,
105,apparatu,1,
106,appear,27,
107,applianc,4,
108,applic,5,
109,appropri,1,
110,approv,3,
111,approxim,1,
112,apr,1,
113,april,2,
114,aqua,2,
115,aquarium,2,
116,aquat,1,
117,arc,1,
118,arcan,1,
119,arctic,1,
120,are,30,
121,area,3,
122,ari,1,
123,aris,1,
124,ark,1,
125,arm,2,
126,armchair,1,
127,arnold,1,
128,arrang,2,
129,arriv,180,
130,articul,1,
131,as,12,
132,asham,1,
133,asid,1,
134,ask,76,
135,asp,1,
136,aspect,3,
137,assembl,1,
138,assist,1,
139,associ,1,
140,at,13,
141,atemdeu,1,
142,attempt,7,
143,attend,10,
144,attent,6,
145,attitud,1,
146,august,1,
147,authent,2,
148,auto,1,
149,automat,2,
150,avail,9,
151,avenu,1,
152,averag,3,
153,avoid,2,
154,await,39,
155,awar,1,
156,awesom,1,
157,baba,2,
158,babi,10,
159,back,46,
160,backer,3,
161,background,1,
162,backpack,1,
163,bad,49,
164,badli,2,
165,bag,11,
166,bagass,1,
167,ball,5,
168,bank,1,
169,bar,1,
170,bargain,1,
171,base,10,
172,basket,3,
173,batgirl,1,
174,bath,1,
175,bathroom,1,
176,batman,1,
177,batteri,6,
178,be,60,
179,beat,1,
180,beauti,5,
181,becam,2,
182,becaus,8,
183,bed,12,
184,been,18,
185,beer,1,
186,befor,1,
187,beg,1,
188,began,2,
189,begin,2,
190,behalf,5,
191,behind,2,
192,beig,3,
193,believ,10,
194,belt,1,
195,besid,12,
196,best,2,
197,better,8,
198,beyond,1,
199,bh,1,
200,big,4,
201,biggest,2,
202,bill,4,
203,billion,2,
204,bingo,2,
205,bird,1,
206,birth,1,
207,birthday,4,
208,bisch,1,
209,bisnaga,1,
210,bit,1,
211,bitterli,1,
212,black,19,
213,blackout,1,
214,bladder,1,
215,blade,1,
216,blame,2,
217,blank,1,
218,blanket,5,
219,bleed,1,
220,blob,1,
221,block,2,
222,blue,13,
223,blumenau,1,
224,blunt,1,
225,blur,1,
226,blurri,1,
227,board,2,
228,bodi,3,
229,bolt,1,
230,bone,1,
231,book,12,
232,boot,1,
233,boss,1,
234,both,2,
235,bother,1,
236,bottl,17,
237,bottom,3,
238,bought,378,
