,phrases,frequency
0,abdom shap,1
1,abid kit,1
2,ability is,1
3,abl return,1
4,abl trust,1
5,abl use,1
6,about fiv,1
7,absenc information,1
8,absent hom,1
9,absent the,1
10,absurd alway,1
11,absurd buy,1
12,absurd delay,1
13,absurd disrespect,1
14,absurd niec,1
15,absurd paid,1
16,absurd post,1
17,absurd redirecting,1
18,absurdity freight,1
19,aca guard,1
20,accept delivery,1
21,accept exchang,1
22,accept product,1
23,accept returm,1
24,accept try,1
25,accepted justificatiom,1
26,accepted the,2
27,accepted wa,1
28,acces alway,1
29,acces application,1
30,acces canist,1
31,acces micr,1
32,accessori the,1
33,accessory received,1
34,accident eminent,1
35,accompanied cas,1
36,accompanied the,1
37,accompany it,1
38,accompanying product,1
39,according ad,1
40,according consum,1
41,according need,1
42,according phot,2
43,according post,1
44,according print,1
45,according stor,1
46,according th,1
47,according the,8
48,account delivered,1
49,account it,1
50,account thil,1
51,accused the,1
52,accustomed buying,1
53,achiev forty,1
54,acqu product,1
55,acquired not,1
56,acquired pleas,1
57,acquired previ,1
58,acquired sit,1
59,acquired sword,1
60,acronym the,1
61,acros anoth,1
62,acros probl,1
63,acros repl,1
64,act hop,1
65,act went,1
66,action only,1
67,action thil,1
68,activa my,1
69,actually bought,1
70,actually delivered,1
71,actually ha,1
72,actually not,1
73,actually repl,1
74,actually sheet,1
75,ad as,1
76,ad bought,1
77,ad hav,1
78,ad howev,1
79,ad imag,1
80,ad not,4
81,ad phot,2
82,ad say,1
83,ad simply,1
84,ad taking,1
85,adapt cart,1
86,adapt connec,1
87,adapt my,1
88,add hav,1
89,addition delay,1
90,addition increasing,1
91,addition not,4
92,addition notic,1
93,addition product,2
94,addition receiving,1
95,addition sent,1
96,addition stark,1
97,addition the,4
98,addres besid,1
99,addres correct,1
100,addres demand,1
101,addres easy,1
102,addres far,2
103,addres incorrect,2
104,addres is,1
105,addres just,1
106,addres one,1
107,addres repeated,1
108,addres rua,1
109,addres sent,1
110,addres someon,1
111,addres the,1
112,addres thil,1
113,addres two,1
114,addres wrong,2
115,addres yet,1
116,addressed me,1
117,adh the,1
118,adhesiv background,1
119,adjustabl therm,1
120,adjustment pin,1
121,adm with,1
122,administra the,1
123,admit network,1
124,adulterated product,1
125,advanc disappointing,1
126,advanc giv,1
127,advanc thinking,1
128,advanced hydration,1
129,advertised am,1
130,advertised canist,1
131,advertised much,1
132,advertised product,1
133,advertised specificatiom,1
134,advertisement alway,1
135,advertisement am,1
136,advertisement as,1
137,advertisement cabl,1
138,advertisement description,2
139,advertisement howev,1
140,advertisement is,1
141,advertisement it,1
142,advertisement one,1
143,advertisement requested,1
144,advertisement said,1
145,advertisement say,1
146,advertisement stat,1
147,advertisement targaryen,1
148,advertisement templat,1
149,advertisement the,2
150,advertisement want,1
151,advertising bad,1
152,advertising box,1
153,advertising impressiv,1
154,advertising show,1
155,aff horr,1
156,affection baby,1
157,afraid not,1
158,aft completing,1
159,aft installing,1
160,aft sal,1
161,afternoon alt,1
162,afternoon cam,1
163,afternoon inform,1
164,afternoon mad,1
165,afternoon precisely,1
166,afternoon product,3
167,afternoon put,1
168,afternoon received,2
169,afternoon receiving,1
170,afternoon second,1
171,again re,1
172,again ve,1
173,against the,1
174,age the,1
175,aged scratched,1
176,agency hom,1
177,aggravating that,1
178,agil delivery,1
179,agility not,1
180,ago bought,1
181,ago did,1
182,ago mad,1
183,ago my,1
184,ago nev,1
185,ago product,1
186,ago so,1
187,ago try,1
188,agr try,1
189,agreement do,1
190,aid the,1
191,air ball,1
192,air plant,1
193,alarm cent,1
194,ali know,1
195,alik exchang,1
196,all avoid,1
197,all bought,1
198,all company,1
199,all constant,1
200,all correct,1
201,all cost,1
202,all coupled,1
203,all defectiv,1
204,all disord,1
205,all fraud,1
206,all got,1
207,all poured,1
208,all request,1
209,all right,1
210,all rusty,1
211,all the,1
212,alleging incomplet,1
213,allow third,1
214,almost completing,1
215,almost doubl,1
216,almost month,5
217,almost one,2
218,almost perfect,1
219,almost returned,1
220,almost six,1
221,almost the,1
222,almost thirty,1
223,almost twenty,3
224,almost two,5
225,almost weekly,1
226,alon await,1
227,alon then,1
228,along the,1
229,already almost,1
230,already anoth,1
231,already ari,1
232,already asked,5
233,already bought,3
234,already but,1
235,already called,1
236,already cam,1
237,already canceled,1
238,already charged,1
239,already com,1
240,already coming,1
241,already complained,2
242,already connected,1
243,already cracking,1
244,already day,1
245,already defectiv,1
246,already delayed,1
247,already delivered,4
248,already discounted,1
249,already dispatched,1
