,phrases,English,frequency
0,abr estal,ABR Estal,4
1,abr reclam,ABR Reclam,4
2,ach produt,ACH PRODUT,5
3,agor cheg,agor,5
4,agor nad,Agor Nad,18
5,agor ninguém,agor nobody,6
6,agor não,agor,7
7,agor receb,Agor receives,16
8,agor receb produt,Agor receives Produt,8
9,agor tiv,agor tiv,4
10,aguard aind,wait,4
11,aguard contat,Wait for contact,5
12,aguard orient,Aguard Orient,4
13,aguard pos,agard,4
14,aguard produt,Aguard Produt,5
15,aguard reembols,Aguard repayment,4
16,aguard respost,await response,8
17,aguard retorn,awaiting return,13
18,aguard soluç,Aguard Soluç,4
19,agênc correi,Post Office,4
20,aind aguard,Aind Aguard,10
21,aind cheg,Still Enough,22
22,aind foi,AInd was,17
23,aind foi entreg,Aind was deliver,14
24,aind não,not yet,11
25,aind não receb,I have not received yet,7
26,aind obtiv,Aind Obtiv,4
27,aind produt,AInd Produt,4
28,aind receb,still receives,46
29,aind receb produt,still receives product,27
30,aind tinh,still had,4
31,aind tiv,Aind Tiv,5
32,além diss,in addition,7
33,além não,besides not,4
34,além produt,In addition,4
35,and eighteen,and Eighteen,31
36,and eighteen até,and Eighteen until,6
37,and eighteen até agor,and Eighteen until Agor,3
38,and fifteen,and fifteen,3
39,and fit,and fit,7
40,and fitá,And Fitá,6
41,and forte,and strong,10
42,and gineta,And Gineta,4
43,and jour,and jour,3
44,and night,AND NIGHT,7
45,and one,and one,3
46,and setenta,and seventy,7
47,and setenta on,And Seventy On,4
48,and sext,and SEXT,3
49,and sexta,and sixth,11
50,and tent,and tent,6
51,and tento,and try,8
52,and tento seren,and try to seren,3
53,and twentyv,and twentyv,3
54,ant praz,Ant Praz,14
55,apen not,apen not,3
56,apen not fiscal,Apen not tax,3
57,apen one,apen one,31
58,apen one unidad,Apen One UNIDAD,3
59,apen quer,whether,3
60,apen receb,APEN receives,3
61,apen tão,apen so,6
62,apes est,apes,3
63,apresent vit,vit,3
64,as lannist,Lannist,4
65,as loj,Loj,5
66,as loj lannist,Loj Lannist,3
67,assim entreg,so intergent,4
68,assim não,not like this,4
69,assim receb,so I received,3
70,ate agor,AT AGOR,15
71,ate agor nad,"until now, nothing",5
72,ate agor não,until agor does not,4
73,ate hoj,up,3
74,ate moment,until moment,3
75,ato compr,compass,3
76,atras entreg,delivery,7
77,até agor,until agor,39
78,até agor nad,Until Agor NAD,8
79,até agor ninguém,even nobody,4
80,até agor receb,Until Agor,4
81,até agor tiv,Until AGOR TIV,4
82,até dia,until day,5
83,até hoj,to Hoj,10
84,até hoj nad,Until Hoj Nad,4
85,até há,there is,3
86,até moment,even moment,13
87,até moment nad,Until Moment Nad,3
88,até moment receb,until moment,5
89,até pres,even,3
90,avali aind,Avali AInd,3
91,avis não,avis,3
92,baix qual,bave which,9
93,bem ant,well,4
94,bem ant praz,Well Ant Praz,3
95,bem inferi,well inferred,6
96,boa noit,noit,10
97,boa noit receb,Good Night Receive,3
98,boa tard,tard,13
99,boa tard produt,Good Tard Production,3
100,boa tard receb,good tard,3
101,bom dia,Good Morning,16
102,bom dia compr,Good morning.,3
103,bom dia gost,"Good morning, hick.",3
104,caix lent,lent,4
105,cancel compr,Cancel Comp,19
106,cancel ped,cancel ped,17
107,cancel produt,Cancel Produt,4
108,cap colchã,cap,4
109,cart crédit,Cart Crédit,7
110,cas que,which,4
111,cheg agor,Enough now,4
112,cheg aind,chef aid,7
113,cheg ant,reach,4
114,cheg apen,chef,8
115,cheg atras,back,4
116,cheg até,up,4
117,cheg dat,dat,5
118,cheg dat prev,chef dataprev,4
119,cheg dia,day,5
120,cheg minh,chef ming,7
121,cheg nad,Crazy,4
122,cheg não,no,4
123,cheg outr,Check-out,5
124,cheg produt,Chief Product,9
125,cheg soment,chef only,4
126,cheg tod,chef todd,4
127,com defeit,broked,7
128,com problem,with problem,4
129,complet difer,Complet Defer,8
130,compr cancel,CRANCE CANCEL,5
131,compr cheg,COMPER,4
132,compr compr,Compult,5
133,compr dia,B &,4
134,compr doi,COMP,30
135,compr doi produt,BRESS DOI PRODUT,7
136,compr dua,Comult Dua,21
137,compr dua unidad,Compar Dua UNIDAD,5
138,compr feit,Compa Feit,6
139,compr foi,compartment,7
140,compr jog,BRIP,4
141,compr jour,BRONT JOUR,6
142,compr lannist,Prong Lannist,12
143,compr loj,purchase store,7
144,compr loj lannist,purchase Lannister Store,5
145,compr mesm,even,8
146,compr model,COP MODEL,5
147,compr nest,BRESS,4
148,compr nov,compens nov,4
149,compr não,comp,9
150,compr pag,CRIP PAG,11
151,compr poi,compo poi,4
152,compr produt,buy product,54
153,compr produt receb,Comput Product,4
154,compr produt receb outr,purchase product receives another,4
155,compr produt vei,Produt Vei,5
156,compr relógi,buy clock,9
157,compr sim,BRESS,7
158,compr tit,Comprint,6
159,compr tiv,Compa tiv,6
160,compr tre,Comprint,13
161,compr trê,Compan,4
162,compr tão,BRESS,49
163,compr tão produt,BRESS so produt,4
164,compr um,B & B,6
165,compr vit,County vit,13
166,compr vit lannist,Buy Vit Lannister,6
167,conform anunci,as an announcement,5
168,conform compr,CUP,4
169,consegu entr,enter,5
170,consig contat,Consig Contact,6
171,consig entr,consig entR,4
172,consig fal,consign fot,7
173,const entreg,const,8
174,const vit,const vit,5
175,contat comig,count on me,5
176,contat lannist,Contact Lannister,8
177,contat loj,Contact store,9
178,contat não,Contat No,4
179,contat vend,contact sales,4
180,cor azul,blue color,4
181,cor err,err color,7
182,corret produt,Correct Products,4
183,cumpr praz,frizz,6
184,da loj,loj,4
185,dat prev,dataprev,6
186,dat receb,Dat receive,5
187,de mê,mee,4
188,de one,One,4
189,defeit func,defective func,5
190,defeit não,defective,4
191,dem entreg,mistretch,9
192,dentr praz,within term,9
193,descr produt,descr,5
194,desd dia,desd,5
195,dess vez,after time,6
196,dest vez,once,7
197,deu cert,cert,4
198,dev faz,dev do,4
199,dev ser,deve,7
200,dev ter,deve,6
201,devoluç dinh,cash back,4
202,devoluç produt,Return product,15
203,devolv dinh,return money,9
204,devolv produt,return product,10
205,dia aind,day aind,7
206,dia atras,day ago,4
207,dia compr,day,5
208,dia entreg,day intergation,5
209,dia one,day one,5
210,dia praz,DAY PRAZ,5
211,dia sim,day yes,8
212,dia sim sim,"Yes, yes",4
213,dia ten,day ten,6
214,dia tento,day I try,26
215,dia tento jour,Day I try Jour,7
216,dia tento tres,Day I try three,4
217,dia teve,day had,4
218,dia tirte,sad day,5
219,difer anunci,difer annunci,8
220,difer compr,difer,4
221,difer fat,difference,7
222,difer imag,Defer Imag,3
223,difer ped,Defer Ped,3
224,difer produt,Difer Produt,3
225,difer que,difference,15
226,difer que compr,vign,3
227,difer que ped,pedest,4
228,difer solicit,Defer request,5
229,difer solicit aguard,Defer Request Augard,3
230,difer solicit aguard orient,Defer Request Aguard Orient,3
231,dinh de,digne,3
232,dinh de volt,dinh de volt,3
233,dinh volt,dinh volt,29
234,disponibil produt,Produt,3
235,diss não,distinguis,4
236,divers vez,divers,3
237,diz foi,he says,3
238,diz foi entreg,says it was entert,3
239,diz produt,Product says,3
240,do praz,praz,4
241,do produt,producer,6
242,do receb,of the,3
243,doi dia,daily,3
244,doi jog,doi jog,4
245,doi pend,doi pend,3
246,doi perfum,hurt perfum,3
247,doi produt,DOI PRODUT,12
248,doi tem,of item,6
249,dor cabeç,headache,5
250,dua luminár,Dua Luminár,4
251,dua unidad,dua unidad,9
252,dua vez,dua time,3
253,efet compr,effet,6
254,efetu troc,execte troc,7
255,eighteen aind,Eighteen aind,3
256,eighteen até,Eighteen until,8
257,eighteen até agor,Eighteen to Agor,4
258,eighteen até moment,Eighteen until moment,3
259,eighteen receb,eighteen,3
260,ele fal,he fal,3
261,emit not,Emit Not,3
262,emit not fiscal,Emit not fiscal,3
263,empr entreg,Company delivery,3
264,empr targaryen,Targaryen Empr,3
265,encaix corret,correct fit,3
266,entr contat,enter account,55
267,entr contat comig,between contact with me,4
268,entr contat lannist,LANNISTER account,7
269,entr contat loj,between contact store,4
270,entr em,enter,3
271,entr ped,entger,3
272,entreg aguard,Entrig Aguard,3
273,entreg aind,deliver,14
274,entreg aind receb,Delivery to receive,4
275,entreg ant,Interreg Ant,3
276,entreg ant praz,Delivery before time,3
277,entreg apen,Entrec Apen,12
278,entreg apen one,Delivery Aspen One,6
279,entreg apen tão,Enter APEN so,3
280,entreg as,deliver,3
281,entreg ate,interwax,3
282,entreg atras,delivery,3
283,entreg até,deliver,5
284,entreg até dia,deliver until day,3
285,entreg const,Entrig Const,3
286,entreg correi,mail delivery,5
287,entreg dia,delivery day,19
288,entreg dia tento,deliver day,7
289,entreg dia tento tres,Enter day I try three,3
290,entreg do,deliver,3
291,entreg est,deliver,3
292,entreg feit,delivery,3
293,entreg foi,deliver,4
294,entreg lug,Entrig Lug,3
295,entreg lug err,Entrig Lug Err,3
296,entreg mercad,Market delivery,3
297,entreg minh,Entrig Minh,7
298,entreg minh cas,Entrig Minh CAS,5
299,entreg moment,Entretch Moment,5
300,entreg muit,delivery,3
301,entreg nenhum,deliver any,3
302,entreg not,deliver,3
303,entreg não,deliver,10
304,entreg não receb,delivery does not receive,4
305,entreg one,deliver,6
306,entreg outr,otherwise,14
307,entreg ped,deliver,5
308,entreg porém,deliver,4
309,entreg praz,delivery time,8
310,entreg produt,Delivery Product,51
311,entreg produt difer,delivery product differs,4
312,entreg que,deliver,4
313,entreg quer,deliver,7
314,entreg receb,delivery receives,5
315,entreg se,deliver,4
316,entreg soment,Delivery only,5
317,entreg tento,intergent,5
318,entreg tão,deliver,5
319,envi apen,APEN,4
320,envi mail,Email,9
321,envi mens,SVI Mens,4
322,envi outr,SNUS OUT,4
323,envi produt,SUBER PRODUT,21
324,err compr,err,5
325,err não,no,4
326,esper produt,Esper Production,10
327,esper receb,esper,5
328,esper respost,esperp,5
329,est aguard,estuard,9
330,est dand,dand,4
331,est funcion,estate,6
332,eu compr,I buy,13
333,eu receb,I received,6
334,falt jour,falt jour,4
335,falt one,falt one,4
336,falt peç,falt,7
337,falt produt,Falt Produt,5
338,falt respeit,lack,14
339,falt respeit client,Falt Respect Client,6
340,falt respeit consum,lack respect consumption,4
341,fat produt,Fat Produt,7
342,faz de,makes,4
343,faz devoluç,do return,4
344,faz troc,troc,13
345,fifteen dia,fifteen day,4
346,fiq bem,fiq,4
347,fiq satisfeit,Fiq Satisfied,5
348,fiscal const,fiscal const,4
349,fiscal produt,fiscal produt,4
350,fiscal vei,tax vei,5
351,fiz compr,I did,19
352,fiz ped,asked ped,15
353,fiz reclam,I complain,5
354,foi entreg,was entered,87
355,foi entreg quer,was delivered either,4
356,foi envi,was UND,5
357,foi feit,was made,4
358,foi produt,was produt,4
359,foi receb,was received,5
360,for entreg,Forward,4
361,forte night,night,6
362,forte night hor,Hot fortnite,5
363,fret car,fret car,7
364,fret receb,Fret receives,4
365,fret tiv,Fret Tiv,4
366,gineta tin,tin,4
367,gost devolv,gost return,5
368,gost produt,gost produt,7
369,gost sab,horn,20
370,gost uma,hike,6
371,grev caminh,strike path,4
372,hoj dia,Hoj day,7
373,hoj nad,hoj nad,6
374,hoj receb,Hoj receives,5
375,hor compr,hor,6
376,hundred and,Hundred and,96
377,hundred and fit,Hundred and Fit,6
378,hundred and fitá,Hundred and Fitá,6
379,hundred and forte,Hundred And Strong,9
380,hundred and gineta,Hundred and Gineta,4
381,hundred and night,Hundred and Night,7
382,hundred and setenta,Hundred And Seventy,7
