,phrases,frequency
0,abdomin shape hb model,1
1,addit the product arriv,2
2,alreadi got touch canist,3
3,alreadi paid first instal,2
4,alreadi request exchang the,2
5,alreadi request the return,2
6,alway bought canist store,2
7,am still wait the,2
8,am wait an answer,3
9,am wait posit the,3
10,and paid the money,2
11,arriv me diverg relat,2
12,arriv the correct amount,2
13,arriv the expect date,3
14,ask not watch it,2
15,ask product code come,3
16,await guidanc the exchang,3
17,be insur mere mistak,2
18,been than month ago,2
19,blue marin mattress cover,2
20,bought one hundr ten,2
21,bought product came anoth,3
22,bought product orang color,2
23,bought product receiv anoth,4
24,bought product sent anoth,3
25,bought two curtain onli,2
26,bought two equal splendid,2
27,bought two paid two,2
28,bought two perfum came,2
29,bought two product the,2
30,bought two product unit,2
31,bought two receiv one,2
32,bought two scale onli,2
33,bought two unit onli,2
34,bsp step equal not,2
35,but thread differ one,2
36,buy the site canist,2
37,came one the box,2
38,came one would like,2
39,came the wrong color,4
40,can evalu not receiv,4
41,cancel purchas voic issu,1
42,cancel purchas wa charg,1
43,cancel purchas wa deliv,1
44,cancel reason alreadi reimburs,1
45,cancel request may eleven,1
46,cancel request not arriv,1
47,cancel request not ask,1
48,cancel request not revers,1
49,cancel request not the,1
50,cancel request receiv within,1
51,cancel request revers purchas,1
52,cancel request soon merchandis,1
53,cancel request the time,1
54,cancel request without warn,1
55,cancel request yet deliv,1
56,cancel return the product,1
57,cancel sale he not,1
58,cancel same day purchas,1
59,cancel shipment yet have,1
60,cancel site telephon mail,1
61,cancel store not deliv,1
62,cancel store take mt,1
63,cancel the forti eighth,1
64,cancel the order it,1
65,cancel the order not,1
66,cancel the product alreadi,1
67,cancel the purchas am,1
68,cancel the purchas the,1
69,cancel the request want,1
70,cancel the request will,1
71,cancel the sale the,1
72,cancel the sale to,1
73,cancel the site wait,1
74,cancel thi product launch,1
75,cancel until cancel store,1
76,cancel wa realiz explain,1
77,cancel wait return the,1
78,cancel want chang anoth,1
79,cancel want know receiv,1
80,cancel without explan still,1
81,cancel yet store sent,1
82,cancel you tri sever,1
83,candl came broken coal,1
84,cane bagass although is,1
85,canist allow third parti,1
86,canist also lost client,1
87,canist alway bought canist,1
88,canist and can solv,1
89,canist ask consist receiv,1
90,canist associ compani do,1
91,canist better partner store,1
92,canist client prove the,1
93,canist com br sell,1
94,canist com complaint channel,1
95,canist com have partner,1
96,canist com no idea,1
97,canist com not succeed,1
98,canist com stop receiv,1
99,canist com store make,1
100,canist com store one,1
101,canist com targaryen spi,1
102,canist custom are faith,1
103,canist deliv deadlin now,1
104,canist deliv my hous,1
105,canist deliveri usual the,1
106,canist did give ani,1
107,canist doe meet the,1
108,canist expect solut deliveri,1
109,canist had problem thi,1
110,canist happen five seventeen,1
111,canist hesit deliveri three,1
112,canist inform there problem,1
113,canist it took long,1
114,canist know happen attend,1
115,canist make necessari charg,1
116,canist mani year ago,1
117,canist methodolog alreadi almost,1
118,canist more lenient do,1
119,canist neither satisfact give,1
120,canist never problem thi,1
121,canist no one manifest,1
122,canist no option speak,1
123,canist not ani kind,1
124,canist not get product,1
125,canist not give thi,1
126,canist not lend give,1
127,canist of sale of,1
128,canist on call to,1
129,canist paid websit canist,1
130,canist partner are trustworthi,1
131,canist partner said can,1
132,canist phone they tell,1
133,canist pleas post neg,1
134,canist plu they answer,1
135,canist receiv two hdi,1
136,canist repres product estelionato,1
137,canist request inform the,1
138,canist respons and omit,1
139,canist respons did arriv,1
140,canist site appear given,1
141,canist stop fulfil purchas,1
142,canist store also came,1
143,canist store an answer,1
144,canist store buy the,2
145,canist store deliveri be,1
146,canist store hope receiv,1
147,canist store hope return,1
148,canist store not sell,1
149,canist store not take,1
150,canist store question through,1
151,canist store refer the,1
152,canist store the product,1
153,canist store thi feat,1
154,canist store thi time,1
155,canist super faith hi,1
156,canist supplier thi situat,1
157,canist system not accept,1
158,canist targaryen not eat,1
159,canist targaryen partner product,1
160,canist the attend not,1
161,canist the charger not,1
162,canist the respons your,1
163,canist there return against,1
164,canist they sell bag,1
165,canist thi time made,1
166,canist think be insur,2
167,canist to judg you,1
168,canist turn free market,1
169,canist wa first time,1
170,canist websit can keep,1
171,canist websit have alreadi,1
172,canist websit lousi exchang,1
173,canist websit no respons,1
174,canist websit not right,1
175,canist websit the diamet,1
176,canist websit the site,1
177,canist websit wa still,1
178,cap with an age,1
179,capit cep twenti two,1
180,capsul find absurd buy,1
181,capsul not yet deliv,1
182,capsul receiv sixti capsul,1
183,capsul receiv the sixti,1
184,capsul the mode use,1
185,car arriv cover crossbow,1
186,car arriv the cart,1
187,car clio two work,1
188,car enter safeti mode,1
189,car horribl terribl qualiti,1
190,car model the plastic,1
191,car noth proce coward,1
192,car piec need certain,1
193,car tractor train trenzinho,1
194,car train tractor truck,1
195,car vacuum cleaner the,1
196,car wa choke rubber,1
197,carbon advanc think it,1
198,card abil is differ,1
199,card await urgent return,1
200,card came one photo,1
201,card came without two,1
202,card did cancel the,1
203,card did come like,1
204,card did get return,1
205,card due lack deliveri,1
206,card final discov the,1
207,card microshc is lower,1
208,card new chang doe,1
209,card not work correctli,1
210,card now want cancel,1
211,card onli one arriv,1
212,card onli receiv one,1
213,card onli sent broken,1
214,card receiv fals start,1
215,card receiv us card,1
216,card releas two item,1
217,card sand rec diff,1
218,card sinc the product,1
219,card targaryen never buy,1
220,card the cell phone,1
221,card the first instal,1
222,card then the product,1
223,card they send the,1
224,card troubl doe appear,1
225,card wa as the,1
226,card want know will,1
227,card will have to,1
228,card work cell phone,1
229,cardboard box without content,1
230,care came differ td,1
231,care not know my,1
232,career three white number,1
233,carpet did receiv authent,1
234,carpet it not minimum,1
235,carpet ninetyxon hundr dog,1
236,carpet not arriv expect,1
237,carpet not come the,1
238,carpet onli receiv one,1
239,carpet receiv rectangular blue,1
240,carpet the footag two,1
241,carpet veri day use,1
242,carri thi purchas until,1
243,carri wa six ivori,1
244,carrier hand packag that,1
245,carrier if the product,1
246,carrier no respect anyon,1
247,carrier report absent home,1
248,carrier until the moment,1
249,cart babi comfort not,1
250,cart deliv the other,1
251,cart mose babi comfort,1
252,cart solv problem not,1
253,cart the babi comfort,1
254,cart the comfort miss,1
255,cartel color roll beig,1
256,cartridg came burn can,1
257,cartridg came shaken falsifi,1
258,cartridg comput indic it,1
259,cartridg correct is dubiou,1
260,cartridg did print accord,1
261,cartridg expens the color,1
262,cartridg hand nine hundr,1
263,cartridg last averag doubl,1
264,cartridg messag my hp,1
265,cartridg non origin print,1
266,cartridg not origin black,1
267,cartridg not origin cancel,1
268,cartridg one black one,1
269,cartridg phone hundr twenti,1
270,cartridg printer indic it,1
271,cartridg printer sixti receiv,1
272,cartridg provid under pressur,1
273,cartridg receiv four unit,1
274,cartridg stop print even,1
275,cartridg we receiv one,1
276,cartridg when instal in,1
277,cartridg would high yield,1
278,cascad pr live rj,1
279,case bought for big,1
280,case case contain inform,1
281,case case nf accompani,1
282,case case one extern,1
283,case clock same bracelet,1
284,case contain inform wa,1
285,case my request will,1
286,case nf accompani case,1
287,case one extern hd,1
288,case send contact partner,1
289,casino clock differ the,1
290,casino model bought six,1
291,casino model last hundr,1
292,casino rose gold watch,1
293,casino vintag digit fashion,1
294,casino watch market origin,1
295,categori apach thin thick,1
296,caus the chair be,1
297,cd accompani product came,1
298,cd but will not,1
299,cd the drive not,1
300,cd tri make exchang,1
