,phrases,frequency,English
0,abdomin shape,1,
1,abid kit,1,
2,abil is,1,
3,abl return,1,
4,abl trust,1,
5,abl use,1,
6,about five,1,
7,absenc inform,1,
8,absent home,1,
9,absent the,1,
10,absurd alway,1,
11,absurd buy,1,
12,absurd delay,1,
13,absurd disrespect,1,
14,absurd freight,1,
15,absurd niec,1,
16,absurd paid,1,
17,absurd post,1,
18,absurd redirect,1,
19,aca guard,1,
20,accept deliveri,1,
21,accept exchang,1,
22,accept justif,1,
23,accept product,1,
24,accept return,1,
25,accept the,2,
26,accept tri,1,
27,accept wa,1,
28,access alway,1,
29,access applic,1,
30,access canist,1,
31,access micro,1,
32,accessori receiv,1,
33,accessori the,1,
34,accid emin,1,
35,accompani case,1,
36,accompani item,1,
37,accompani product,1,
38,accompani the,1,
39,accord ad,1,
40,accord consum,1,
41,accord need,1,
42,accord photo,2,
43,accord post,1,
44,accord printer,1,
45,accord store,1,
46,accord the,8,
47,accord them,1,
48,account deliv,1,
49,account it,1,
50,account thi,1,
51,accus the,1,
52,accustom buy,1,
53,achiev forti,1,
54,acquir not,1,
55,acquir pleas,1,
56,acquir previou,1,
57,acquir product,1,
58,acquir site,1,
59,acquir sword,1,
60,acronym the,1,
61,across anoth,1,
62,across problem,1,
63,across replica,1,
64,act hope,1,
65,act went,1,
66,action onli,1,
67,action thi,1,
68,activ my,1,
69,actual bought,1,
70,actual deliv,1,
71,actual ha,1,
72,actual not,1,
73,actual replica,1,
74,actual sheet,1,
75,ad as,1,
76,ad bought,1,
77,ad have,1,
78,ad howev,1,
79,ad imag,1,
80,ad not,4,
81,ad photo,2,
82,ad say,1,
83,ad simpli,1,
84,ad take,1,
85,adapt cart,1,
86,adapt connector,1,
87,adapt my,1,
88,add have,1,
89,addit delay,1,
90,addit increas,1,
91,addit not,4,
92,addit notic,1,
93,addit product,2,
94,addit receiv,1,
95,addit sent,1,
96,addit stark,1,
97,addit the,4,
98,address besid,1,
99,address correct,1,
100,address demand,1,
101,address easi,1,
102,address far,2,
103,address incorrect,2,
104,address is,1,
105,address just,1,
106,address me,1,
107,address one,1,
108,address repeat,1,
109,address rua,1,
110,address sent,1,
111,address someon,1,
112,address the,1,
113,address thi,1,
114,address two,1,
115,address wrong,2,
116,address yet,1,
117,adher the,1,
118,adhes background,1,
119,adjust pin,1,
120,adjust thermal,1,
121,administr the,1,
122,admir with,1,
123,admit network,1,
124,adulter product,1,
125,advanc disappoint,1,
126,advanc give,1,
127,advanc hydrat,1,
128,advanc think,1,
129,advertis alway,1,
130,advertis am,2,
131,advertis as,1,
132,advertis bad,1,
133,advertis box,1,
134,advertis cabl,1,
135,advertis canist,1,
136,advertis descript,2,
137,advertis howev,1,
138,advertis impress,1,
139,advertis is,1,
140,advertis it,1,
141,advertis much,1,
142,advertis one,1,
143,advertis product,1,
144,advertis request,1,
145,advertis said,1,
146,advertis say,1,
147,advertis show,1,
148,advertis specif,1,
149,advertis state,1,
150,advertis targaryen,1,
151,advertis templat,1,
152,advertis the,2,
153,advertis want,1,
154,aff horror,1,
155,affect babi,1,
156,afraid not,1,
157,after complet,1,
158,after instal,1,
159,after sale,1,
160,afternoon alter,1,
161,afternoon came,1,
162,afternoon inform,1,
163,afternoon made,1,
164,afternoon precis,1,
165,afternoon product,3,
166,afternoon put,1,
167,afternoon receiv,3,
168,afternoon second,1,
169,again re,1,
170,again ve,1,
171,against the,1,
172,age scratch,1,
173,age the,1,
174,agenc home,1,
175,aggrav that,1,
176,agil deliveri,1,
177,agil not,1,
178,ago bought,1,
179,ago did,1,
180,ago made,1,
181,ago my,1,
182,ago never,1,
183,ago product,1,
184,ago so,1,
185,ago tri,1,
186,agr tri,1,
187,agreement do,1,
188,aid the,1,
189,air ball,1,
190,air plant,1,
191,alarm center,1,
192,alia know,1,
193,alik exchang,1,
194,all avoid,1,
195,all bought,1,
196,all compani,1,
197,all constant,1,
198,all correct,1,
199,all cost,1,
200,all coupl,1,
201,all defect,1,
202,all disord,1,
203,all fraud,1,
204,all got,1,
205,all pour,1,
206,all request,1,
207,all right,1,
208,all rusti,1,
209,all the,1,
210,alleg incomplet,1,
211,allow third,1,
212,almost complet,1,
213,almost doubl,1,
214,almost month,5,
215,almost one,2,
216,almost perfect,1,
217,almost return,1,
218,almost six,1,
219,almost the,1,
220,almost thirti,1,
221,almost twenti,3,
222,almost two,5,
223,almost weekli,1,
224,alon await,1,
225,alon then,1,
226,along the,1,
227,alreadi almost,1,
228,alreadi anoth,1,
229,alreadi ari,1,
230,alreadi ask,5,
231,alreadi bought,3,
232,alreadi but,1,
233,alreadi call,1,
234,alreadi came,1,
235,alreadi cancel,1,
236,alreadi charg,1,
237,alreadi come,2,
238,alreadi complain,2,
239,alreadi connect,1,
240,alreadi crack,1,
241,alreadi day,1,
242,alreadi defect,1,
243,alreadi delay,1,
244,alreadi deliv,4,
245,alreadi discount,1,
246,alreadi dispatch,1,
247,alreadi done,1,
248,alreadi eight,1,
249,alreadi elaps,1,
250,alreadi enter,1,
251,alreadi exceed,1,
252,alreadi excess,1,
253,alreadi exhaust,1,
254,alreadi expir,1,
255,alreadi extens,1,
256,alreadi few,1,
257,alreadi fifteen,1,
258,alreadi fill,1,
259,alreadi finish,1,
260,alreadi fourth,1,
261,alreadi friend,1,
262,alreadi give,1,
263,alreadi go,1,
264,alreadi got,5,
265,alreadi happen,1,
266,alreadi held,1,
267,alreadi hover,1,
268,alreadi long,1,
269,alreadi made,8,
270,alreadi manipul,1,
271,alreadi more,1,
272,alreadi my,1,
273,alreadi open,4,
274,alreadi paid,12,
275,alreadi pass,1,
276,alreadi past,1,
277,alreadi pay,1,
278,alreadi play,1,
279,alreadi possibl,1,
280,alreadi purchas,1,
281,alreadi receiv,4,
282,alreadi reclaim,1,
283,alreadi reimburs,1,
284,alreadi request,12,
285,alreadi return,2,
286,alreadi said,1,
287,alreadi second,2,
288,alreadi sent,16,
289,alreadi show,1,
290,alreadi stop,1,
291,alreadi ten,1,
292,alreadi the,2,
293,alreadi third,1,
294,alreadi turn,1,
295,alreadi two,1,
296,alreadi use,3,
297,alreadi way,1,
298,alreadi week,1,
299,alreadi went,1,
300,also came,2,
301,also come,1,
302,also could,1,
303,also inform,1,
304,also lost,1,
305,also not,2,
306,also take,1,
307,also the,1,
308,alter thank,1,
309,altern the,1,
310,although appear,1,
311,although contain,1,
312,although ha,1,
313,although is,2,
314,although note,1,
315,although the,1,
316,aluminum scratch,1,
317,alway arriv,1,
318,alway bought,14,
319,alway buy,2,
320,alway came,1,
321,alway deliv,2,
322,alway diverg,1,
323,alway fall,1,
324,alway gave,1,
325,alway good,1,
326,alway great,1,
327,alway inform,1,
328,alway perfect,1,
329,alway receiv,1,
330,alway said,1,
331,alway say,1,
332,alway trust,1,
333,am accustom,1,
334,am alreadi,1,
335,am cancel,1,
336,am canist,1,
337,am complet,1,
338,am deepli,1,
339,am disappoint,8,
340,am dissatisfi,4,
341,am doubt,2,
342,am enter,1,
343,am extrem,2,
344,am feel,1,
345,am mt,1,
346,am outrag,1,
347,am perform,1,
348,am request,1,
349,am satisfi,2,
350,am still,2,
351,am super,1,
352,am total,1,
353,am tri,2,
354,am upset,2,
355,am veri,2,
356,am wait,18,
357,am worri,1,
358,am write,1,
359,amend small,1,
360,amer store,1,
361,america far,1,
362,american not,1,
363,american question,1,
364,american site,1,
365,american store,3,
366,american treat,1,
367,american websit,1,
368,americana do,1,
369,amor advanc,1,
370,amor golden,1,
371,amount charg,1,
372,amount forti,1,
373,amount miss,2,
374,amount paid,11,
375,amount product,1,
376,amount ten,1,
377,amount two,2,
378,an age,1,
379,an answer,12,
380,an applic,1,
381,an attend,3,
382,an electr,1,
383,an email,2,
384,an evalu,1,
385,an exchang,1,
386,an extern,1,
387,an hour,1,
388,an inappropri,1,
389,an institut,1,
390,an old,2,
391,an order,1,
392,an origin,4,
393,an ugli,1,
394,an unbear,1,
395,an uncommic,1,
396,an unforeseen,2,
397,an voic,1,
398,analog pointer,1,
399,ancient driver,1,
400,ancient the,1,
401,and alreadi,1,
402,and alway,1,
403,and appar,1,
404,and bought,1,
405,and call,1,
406,and can,1,
407,and canist,2,
408,and deceiv,1,
409,and did,1,
410,and earli,1,
411,and far,2,
412,and for,1,
413,and have,1,
414,and inform,1,
415,and like,1,
416,and noth,1,
417,and omit,1,
418,and paid,2,
419,and receiv,1,
420,and seventi,1,
421,and sever,1,
422,and still,1,
423,and take,1,
424,and the,2,
425,and third,1,
426,and until,1,
427,and voic,1,
428,and wrong,1,
429,and you,1,
430,android four,1,
431,angri lack,1,
432,ani cell,1,
433,ani christian,1,
434,ani inform,2,
435,ani kind,1,
436,ani motorola,1,
437,ani product,1,
438,ani return,1,
439,ani satisfact,2,
440,ani the,1,
441,announc alreadi,1,
442,announc call,1,
443,announc charger,1,
444,announc did,1,
445,announc disappoint,1,
446,announc fill,1,
447,announc flee,1,
448,announc interest,1,
449,announc kit,1,
450,announc my,1,
451,announc not,3,
452,announc origin,1,
453,announc price,1,
454,announc product,3,
455,announc receiv,1,
456,announc said,1,
457,announc targaryen,1,
458,announc the,1,
459,announc tri,1,
460,announc you,1,
461,annoy american,1,
462,annoy he,1,
463,anoth actual,1,
464,anoth address,1,
465,anoth alreadi,1,
466,anoth are,1,
467,anoth ask,1,
468,anoth bottom,1,
469,anoth brand,4,
470,anoth carrier,1,
471,anoth citi,1,
472,anoth color,3,
473,anoth compani,1,
474,anoth complet,3,
475,anoth control,1,
476,anoth copper,1,
477,anoth detalh,1,
478,anoth differ,2,
479,anoth femal,1,
480,anoth four,1,
481,anoth is,1,
482,anoth less,1,
483,anoth mark,1,
484,anoth model,7,
485,anoth noth,1,
486,anoth one,3,
487,anoth person,5,
488,anoth place,2,
489,anoth pleas,1,
490,anoth print,1,
491,anoth problem,1,
492,anoth product,17,
493,anoth purchas,1,
494,anoth return,1,
495,anoth roll,1,
496,anoth sent,1,
497,anoth site,1,
498,anoth smaller,1,
499,anoth still,1,
500,anoth store,1,
501,anoth time,2,
502,anoth total,7,
503,anoth tri,1,
504,anoth twenti,1,
505,anoth unit,1,
506,anoth urgent,1,
507,anoth wa,1,
508,anoth want,1,
509,answer alway,1,
510,answer client,1,
511,answer complet,1,
512,answer day,1,
513,answer deliveri,1,
514,answer depend,1,
515,answer disappoint,1,
516,answer eleven,1,
517,answer email,4,
518,answer exchang,2,
519,answer hope,1,
520,answer in,1,
521,answer is,1,
522,answer it,1,
523,answer ll,1,
524,answer machin,1,
525,answer made,1,
526,answer my,2,
527,answer noth,2,
528,answer one,1,
529,answer phone,2,
530,answer question,1,
531,answer receiv,1,
532,answer reimburs,1,
533,answer result,1,
534,answer targaryen,1,
535,answer the,3,
536,answer to,2,
537,answer until,1,
538,answer view,1,
539,answer when,1,
540,answer will,1,
541,answer worri,1,
542,answer yet,1,
543,antenna not,1,
544,anticip not,1,
545,anticip without,1,
546,antonio mario,1,
547,anxiou doll,1,
548,anxiou the,1,
549,anymor no,1,
550,anyon alreadi,1,
551,anyon buy,1,
552,anyon canist,1,
553,anyon either,1,
554,anyon home,1,
555,anyon solv,1,
556,anyon the,1,
557,anyth absurd,1,
558,anyth alreadi,1,
559,anyth await,1,
560,anyth date,1,
561,anyth either,1,
562,anyth els,1,
563,anyth end,1,
564,anyth goe,1,
565,anyth is,1,
566,anyth it,1,
567,anyth run,1,
568,anyth sign,1,
569,anyth sold,1,
570,anyth spent,1,
571,anyth the,2,
572,anyth wa,1,
573,anyth yet,2,
574,anyway deliveri,1,
575,anyway did,2,
576,anyway it,1,
577,anyway made,1,
578,apach thin,1,
579,app not,1,
580,appar can,1,
581,appar work,1,
582,apparatu alreadi,1,
583,appear advertis,1,
584,appear alreadi,1,
585,appear be,1,
586,appear brand,1,
587,appear corrupt,1,
588,appear deliv,2,
589,appear given,1,
590,appear he,1,
591,appear if,1,
592,appear my,1,
593,appear one,2,
594,appear product,1,
595,appear purchas,1,
596,appear receiv,1,
597,appear site,1,
598,appear the,8,
599,appear voic,2,
600,applianc do,1,
601,applianc onli,1,
602,applianc which,1,
603,applic bought,1,
604,applic cancel,1,
605,applic not,1,
606,applic product,1,
607,applic tool,1,
608,appropri arrang,1,
609,approv one,1,
610,approv reach,1,
611,approv the,1,
612,approxim fifti,1,
613,apr return,1,
614,april the,1,
615,april twenti,1,
616,aqua di,2,
617,aquarium connect,1,
618,aquarium convert,1,
619,aquat dtv,1,
620,arc temper,1,
621,arctic gray,1,
622,are alreadi,2,
623,are announc,1,
624,are ask,2,
625,are clearli,1,
626,are difficulti,1,
627,are eight,1,
628,are faith,1,
629,are fill,1,
630,are for,1,
631,are go,2,
632,are hope,1,
633,are illustr,1,
634,are made,1,
635,are mani,1,
636,are misalign,1,
637,are punctur,1,
638,are roll,1,
639,are seriou,1,
640,are sore,1,
641,are still,1,
642,are trustworthi,1,
643,are two,4,
644,are wait,1,
645,are want,1,
646,area one,1,
647,ari complaint,1,
648,aris hope,1,
649,ark the,1,
650,arm pink,1,
651,arm want,1,
652,armchair miss,1,
653,arrang justic,1,
654,arriv also,1,
655,arriv and,1,
656,arriv anoth,1,
657,arriv arriv,1,
658,arriv august,1,
659,arriv broken,2,
660,arriv but,1,
661,arriv call,1,
662,arriv came,4,
663,arriv can,3,
664,arriv chosen,1,
665,arriv citi,1,
666,arriv complain,1,
667,arriv complet,2,
668,arriv correct,1,
669,arriv cover,1,
670,arriv crack,1,
671,arriv damag,2,
672,arriv deadlin,2,
673,arriv defect,2,
674,arriv did,2,
675,arriv disappoint,1,
676,arriv eight,2,
677,arriv electron,1,
678,arriv even,2,
679,arriv expect,1,
680,arriv far,3,
681,arriv fine,1,
682,arriv four,2,
683,arriv gave,1,
684,arriv had,1,
685,arriv half,2,
686,arriv home,1,
687,arriv howev,2,
688,arriv in,1,
689,arriv incomplet,2,
690,arriv is,3,
691,arriv it,3,
692,arriv lack,1,
693,arriv late,3,
694,arriv lid,1,
695,arriv lost,1,
696,arriv mail,1,
697,arriv me,2,
698,arriv my,9,
699,arriv need,1,
700,arriv not,2,
701,arriv one,5,
702,arriv onli,1,
703,arriv order,2,
704,arriv pack,1,
705,arriv paid,1,
706,arriv past,1,
707,arriv pleas,1,
708,arriv product,5,
709,arriv risk,1,
710,arriv sent,1,
711,arriv seven,1,
